Name,Status,Release Year,Programming Language(s),Categories,URL (Original),URL (Wayback Archive),Wayback Preserved,Author,Catalog Section
Archaeopteryx,dormant,,Java,tree-visualization,http://www.phylosoft.org/archaeopteryx/,,No,"Christian Zmasek , currently","Tree visualization, simulation, and other programs"
Arlequin,dormant,2000,,distance; population-genetics,http://cmpg.unibe.ch/software/arlequin3/,,No,Laurent Excoffier,Distance matrix and computation programs
AutoDecay,archived,1994,Perl,bootstrap,http://www.bergianska.se/index_forskning_soft.html,http://web.archive.org/web/20110806140113/http://www.bergianska.se/index_forskning_soft.html,Yes,Torsten Eriksson,Parsimony programs
AxParafit,archived,2007,C,biogeography; host-parasite,http://icwww.epfl.ch/~stamatak/AxParafit.html,http://web.archive.org/web/20101227141628/http://icwww.epfl.ch:80/~stamatak/AxParafit.html,Yes,"Alexandros Stamatakis, A. Auch, J. Meier-Kolthoff, and M. Göker ",Maximum likelihood and Bayesian programs
BAli-Phy,archived,2005,,alignment; bayesian,http://www.biomath.ucla.edu/~msuchard/bali-phy/,http://web.archive.org/web/20080703175746/http://www.biomath.ucla.edu/%7Emsuchard/bali-phy/,Yes,"Ben Redelings, currently",Maximum likelihood and Bayesian programs
BAMBE,dormant,1996,,bayesian; bootstrap,http://www.stat.wisc.edu/~larget/,,No,Bret Larget,Maximum likelihood and Bayesian programs
BayesPhylogenies,archived,2004,,bayesian; bootstrap,http://www.evolution.rdg.ac.uk/BayesPhy.html,http://web.archive.org/web/20211028193814/http://www.evolution.rdg.ac.uk/BayesPhy.html,Yes,Mark Pagel and Andrew Meade,Maximum likelihood and Bayesian programs
BayesTraits,archived,2004,,comparative-methods; model-selection,http://www.evolution.rdg.ac.uk/BayesTraits.html,http://web.archive.org/web/20211201095135/http://www.evolution.rdg.ac.uk/BayesTraits.html,Yes,Mark Pagel and Andrew Meade,"Tree visualization, simulation, and other programs"
BEAST,dormant,2007,Java,bayesian; bootstrap; clock-dating,http://beast.bio.ed.ac.uk/Main_Page,,No,Alexei Drummond,Maximum likelihood and Bayesian programs
BEST,archived,2007,C,bayesian,http://www.stat.osu.edu/~dkp/BEST/,http://web.archive.org/web/20171226092603/http://www.stat.osu.edu:80/~dkp/BEST/,Yes,Liang Liu,Maximum likelihood and Bayesian programs
Bio++,dormant,2006,,bayesian; bootstrap; distance; general-purpose; likelihood; tree-visualization,http://kimura.univ-montp2.fr/BioPP/,,No,"Julien Y. Dutheil, Bastien Boussau, and co-workers",Parsimony programs
Bio::Phylo,dormant,2011,Perl,simulation; tree-comparison; tree-visualization,http://search.cpan.org/dist/Bio-Phylo/,,No,Rutger Vos,Parsimony programs
BioEdit,archived,1997,,sequence-editing; utility,http://www.mbio.ncsu.edu/BioEdit/bioedit.html,http://web.archive.org/web/20191227180653/http://www.mbio.ncsu.edu:80/bioedit/bioedit.html,Yes,"Tom Hall, then","Tree visualization, simulation, and other programs"
Bioinformatics_Toolbox,dead,,Matlab,distance; tree-visualization; utility,http://www.mathworks.com/products/bioinfo/,,No,MathWorks,"Tree visualization, simulation, and other programs"
BIONJ,dormant,1997,C,distance,http://www.atgc-montpellier.fr/bionj/binaries.php,,No,Olivier Gascuel,Distance matrix and computation programs
Bionumerics,archived,,,bootstrap; distance; general-purpose; likelihood; parsimony; tree-visualization; utility,http://www.applied-maths.com/bn/bn.htm,http://web.archive.org/web/20120819064737/http://www.applied-maths.com:80/bn/bn.htm,Yes,Applied Maths NV,Parsimony programs
BIRCH,dormant,1999,C; Java; Python,alignment; bootstrap; clock-dating; comparative-methods; compatibility; consensus; distance; general-purpose; likelihood; parsimony; tree-visualization; utility,http://home.cc.umanitoba.ca/~psgendb/,,No,Brian Fristensky,"Tree visualization, simulation, and other programs"
bms_runner,archived,2007,Perl,bayesian; comparative-methods; gene-duplication; genomics,http://eggg.st-andrews.ac.uk/bms_runner,http://web.archive.org/web/20230402091716/https://eggg.st-andrews.ac.uk/bms_runner/,Yes,"Daniel Barker and Mark Pagel, respectively","Tree visualization, simulation, and other programs"
Bn-Bs,archived,1998,C,distance,https://homes.bio.psu.edu/people/faculty/nei/software.htm,http://web.archive.org/web/20100614180921/http://homes.bio.psu.edu/people/faculty/nei/software.htm,Yes,"Jianzhi George Zhang, now",Distance matrix and computation programs
BootPHYML,archived,,Perl,bootstrap; likelihood,http://www.abc.se/~nylander/bootphyml/bootphyml.html,http://web.archive.org/web/20071209145922/http://www.abc.se:80/~nylander/bootphyml/bootphyml.html,Yes,Johan Nylander,Maximum likelihood and Bayesian programs
Bosque,archived,,,alignment; distance; general-purpose; likelihood; parsimony; quartets; utility,http://bosque.udec.cl,http://web.archive.org/web/20240420220345/https://bosque.udec.cl/,Yes,Salvador Ramirez,"Tree visualization, simulation, and other programs"
BPAnalysis,archived,1998,,gene-duplication; genomics; parsimony,http://www.mcb.mcgill.ca/~blanchem/software.html,http://web.archive.org/web/20080314030417/http://www.mcb.mcgill.ca:80/~blanchem/software.html,Yes,Mathieu Blanchette,Maximum likelihood and Bayesian programs
BRANCHLENGTH,archived,2000,C,clock-dating; tree-comparison,http://www.santafe.edu/~btk/science-paper/bette.html,http://web.archive.org/web/20081221223635/http://www.santafe.edu:80/~btk/science-paper/bette.html,Yes,Bette Korber,"Tree visualization, simulation, and other programs"
Brownie,archived,2006,Matlab,clock-dating,http://www.brianomeara.info/brownie/,http://web.archive.org/web/20150812053428/http://brianomeara.info/brownie,Yes,Brian O'Meara,"Tree visualization, simulation, and other programs"
burntrees,dormant,,Perl,bayesian; bootstrap,http://www.abc.se/~nylander,,No,Johan Nylander,Maximum likelihood and Bayesian programs
Cactus-Pie,archived,,Python,clock-dating; comparative-methods,http://www.pricklysoft.org/software/cactus-pie.html,http://web.archive.org/web/20180304010404/http://www.pricklysoft.org:80/software/cactus-pie.html,Yes,Dylan Schwilk,"Tree visualization, simulation, and other programs"
Cadence,dormant,2004,,bayesian; clock-dating,http://www.zo.utexas.edu/faculty/antisense/DownloadComputerPrograms.html,,No,"Thomas Wilcox, formerly",Maximum likelihood and Bayesian programs
CAFCA,dead,,,parsimony,http://www.mzandee.net/~zandee/cafca/,,No,Rino Zandee,Parsimony programs
CAIC,dormant,1995,R,comparative-methods,http://www.bio.ic.ac.uk/evolve/software/caic/index.html,,No,Andrew Purvis,"Tree visualization, simulation, and other programs"
CBCAnalyzer,dormant,2005,,distance,http://cbcanalyzer.bioapps.biozentrum.uni-wuerzburg.de/,,No,"Matthias Wolf, Joachim Friedrich, Thomas Dandekar, and Tobias Müller","Tree visualization, simulation, and other programs"
cBrother,archived,,C; Java,recombination,http://rumi.gdcb.iastate.edu/software/index.xml,http://web.archive.org/web/20080725163854/http://rumi.gdcb.iastate.edu/software/index.xml,Yes,Karin Dorman,Maximum likelihood and Bayesian programs
Clann,archived,2005,,consensus,http://bioinf.may.ie/software/clann/,http://web.archive.org/web/20100305061124/http://bioinf.may.ie:80/software/clann/,Yes,"Chris Creevey , then","Tree visualization, simulation, and other programs"
Clearcut,archived,,,general-purpose,http://bioinformatics.hungry.com/clearcut/,http://web.archive.org/web/20200503143849/http://bioinformatics.hungry.com:80/clearcut/,Yes,carries out Relaxed Neighbor Joining,
ClustalW,archived,1994,,alignment,http://www.clustal.org,http://web.archive.org/web/20260117011839/https://www.clustal.org/,Yes,A widely-used multisequence alignment program that estimates trees as it aligns multiple sequences is ClustalW . Currently it is in version 2.0.12. It is the latest incarnation,Maximum likelihood and Bayesian programs
CodeAxe,dormant,2007,,likelihood,http://www.phrap.org/othersoftware.html,,No,"Chris Saunders , then","Tree visualization, simulation, and other programs"
CodonBootstrap,dormant,,C,bootstrap,http://www.simmap.com/bollback/software.html,,No,John Huelsenbeck,Parsimony programs
CodonRates,archived,2004,,clock-dating,http://www.iu.a.u-tokyo.ac.jp/~seo/software.htm,http://web.archive.org/web/20200125200126/http://www.iu.a.u-tokyo.ac.jp:80/~seo/software.htm,Yes,Tae-Kun Seo,"Tree visualization, simulation, and other programs"
CoMET,dormant,2006,Java,likelihood,http://www.lifesci.ucsb.edu/eemb/labs/oakley/software/comet.htm,,No,Chunghau Lee and Todd Oakley,"Tree visualization, simulation, and other programs"
COMPARE,dead,,Java,comparative-methods; simulation,http://compare.bio.indiana.edu/,http://web.archive.org/web/20200125150031/http://compare.bio.indiana.edu:80/,Yes,Emília Martins,"Tree visualization, simulation, and other programs"
COMPONENT,archived,1993,Pascal,biogeography; consensus; host-parasite; simulation,http://taxonomy.zoology.gla.ac.uk/rod/cpw.html,http://web.archive.org/web/20180624222237/http://taxonomy.zoology.gla.ac.uk:80/rod/cpw.html,Yes,Rod Page,Maximum likelihood and Bayesian programs
COMPROB,unknown,,Pascal,compatibility,,,No,Christopher Meacham ,"Tree visualization, simulation, and other programs"
Concaterpillar,dormant,2008,Python,likelihood; model-selection; recombination,http://rogerlab.biochemistryandmolecularbiology.dal.ca/Software/Software.htm#Concaterpillar,,No,"Jessica Leigh, Ed Susko, Manuela Bumgartner, and Andrew Roger",Maximum likelihood and Bayesian programs
CONSEL,archived,2001,C,bootstrap; likelihood,http://www.is.titech.ac.jp/~shimo/prog/consel/,http://web.archive.org/web/20180913220500/http://www.is.titech.ac.jp:80/~shimo/prog/consel/,Yes,Hidetoshi Shimodaira,Maximum likelihood and Bayesian programs
CONSERVE,dormant,,,comparative-methods,http://www.agapow.net/software/conserve,,No,The late,"Tree visualization, simulation, and other programs"
CoRe-PA,archived,2010,Java,biogeography; host-parasite,http://pacosy.informatik.uni-leipzig.de/58-1-Downloads.html,http://web.archive.org/web/20221112013711/http://pacosy.informatik.uni-leipzig.de/58-1-Downloads.html,Yes,"Daniel Merkle, Martin Middendorf, and Nicolas Wieseke",Maximum likelihood and Bayesian programs
CRANN,archived,2002,,parsimony,http://bioinf.may.ie/crann/,http://web.archive.org/web/20110502155817/http://bioinf.may.ie:80/crann/,Yes,Chris Creevey and James McInerney,Parsimony programs
Crux,archived,,Python,bayesian; consensus; distance; general-purpose; likelihood; simulation; tree-visualization,http://www.canonware.com/Crux/,http://web.archive.org/web/20170616113423/http://www.canonware.com:80/Crux/,Yes,Jason Evans,Parsimony programs
CTree,dead,2007,Java,bootstrap; tree-comparison; tree-visualization,http://www.manchester.ac.uk/bioinformatics/ctree,,No,John Archer and David Robertson,Distance matrix and computation programs
DAMBE,dormant,2000,,alignment; bootstrap; distance; general-purpose; likelihood; parsimony; tree-visualization; utility,http://dambe.bio.uottawa.ca/dambe.asp,,No,Xuhua Xia,Parsimony programs
DART,archived,,C,alignment; gene-duplication; genomics; likelihood; model-selection,http://biowiki.org/DART,http://web.archive.org/web/20160422015834/http://biowiki.org/DART,Yes,Ian Holmes,"Tree visualization, simulation, and other programs"
Darwin,archived,2000,,distance; likelihood; quartets,http://cbrg.inf.ethz.ch/darwin,http://web.archive.org/web/20050726073556/http://cbrg.inf.ethz.ch:80/Darwin/,Yes,Gaston Gonnet and Chantal Korostensky,Distance matrix and computation programs
DAWG,archived,2005,C,simulation,http://scit.us/projects/dawg/wiki,http://web.archive.org/web/20160408001152/http://scit.us/projects/dawg/wiki,Yes,Reed Cartwright,"Tree visualization, simulation, and other programs"
DendroMaker,archived,,,tree-visualization,http://www.cib.nig.ac.jp/dda/timanish/dendromaker/home.html,http://web.archive.org/web/20120810103811/http://www.cib.nig.ac.jp:80/dda/timanish/dendromaker/home.html,Yes,Tadashi Imanishi,"Tree visualization, simulation, and other programs"
DENDRON,archived,,,distance,http://www.solltechnologies.com/products.html,http://web.archive.org/web/20090110030415/http://www.solltechnologies.com:80/products.html,Yes,"Soll Technologies, Inc.",Distance matrix and computation programs
DendroPy,archived,2010,Python,general-purpose,http://packages.python.org/DendroPy/,http://web.archive.org/web/20121224015426/http://packages.python.org:80/DendroPy/,Yes,Jeet Sukumaran and Mark Holder,Parsimony programs
Dendroscope,dormant,2007,Java,tree-visualization,http://www-ab.informatik.uni-tuebingen.de/software/dendroscope,,No,"Daniel Huson, with contributions from Tobias Dezulian, Markus Franz, Christian Rausch, Daniel Richter and Regula Rupp","Tree visualization, simulation, and other programs"
DERANGE2,unknown,,C,distance; gene-duplication; genomics,,,No,Mathieu Blanchette,Distance matrix and computation programs
DigTree,archived,2006,,tree-visualization,http://digbio.missouri.edu/~digtree/,http://web.archive.org/web/20100626122636/http://digbio.missouri.edu/~digtree/,Yes,"Robin Kramer , then","Tree visualization, simulation, and other programs"
DIPLOMO,dead,1995,,distance,http://www.rsbs.anu.edu.au/Products&Services/BiotechnologyTransferUnit/diplomo.php,,No,Georg Weiller ,"Tree visualization, simulation, and other programs"
DISPAN,archived,,,bootstrap; distance,http://iubio.bio.indiana.edu/soft/molbio/ibmpc/,http://web.archive.org/web/20180927223425/http://iubio.bio.indiana.edu:80/soft/molbio/ibmpc/,Yes,"Tatsuya Ota , most recently at the Hayama Information Network Center at the Graduate University",Distance matrix and computation programs
DISTANCE,archived,1997,C,distance,http://www.t10.lanl.gov/evolution/,http://web.archive.org/web/20090114065303/http://www.t10.lanl.gov/evolution/,Yes,William J. Bruno and Lars Arvestad,Distance matrix and computation programs
DISTREE,dead,,C,distance,http://mirror.pscigrid.gov.ph/ebi-software/software/dos/distree/,,No,"Johannes Schaefer and Michael Schoeniger , then",Distance matrix and computation programs
DIVA,dead,,,biogeography,http://diva.sourceforge.net/,,No,Fredrik Ronquist,Maximum likelihood and Bayesian programs
DIVAGE,archived,1998,,distance; population-genetics,http://web.unife.it/progetti/genetica/Giorgio/giorgio_soft.html#DIVAGE,http://web.archive.org/web/20100330153155/http://web.unife.it:80/progetti/genetica/Giorgio/giorgio_soft.html,Yes,Giorgio Bertorelle,Distance matrix and computation programs
DIVERGE,archived,1999,,comparative-methods,http://xungulab.com/software.html,http://web.archive.org/web/20220121064348/http://xungulab.com/software.html,Yes,Xun Gu,"Tree visualization, simulation, and other programs"
DNA Stacks,dormant,,,bootstrap; utility,http://biology.fullerton.edu/deernisse/dnastacks.html,,No,Doug Eernisse,Parsimony programs
dnarates,archived,,C,likelihood,http://iubio.bio.indiana.edu/soft/molbio/evolve/,http://web.archive.org/web/20180911020948/http://iubio.bio.indiana.edu:80/soft/molbio/evolve/,Yes,Gary Olsen,Maximum likelihood and Bayesian programs
DNASIS,archived,,,alignment; distance,http://www.miraibio.com/dnasis-max/dnasis-max-overview.html,http://web.archive.org/web/20240520232951/https://www.miraibio.com/dnasis-max/dnasis-max-overview.html,Yes,"MiraiBio , a Hitachi Software company DNASIS , a general-purpose DNA and protein sequence analysis system, produced by Molecular Biology Insights, Inc.",Maximum likelihood and Bayesian programs
DnaSP,dormant,1999,,distance; population-genetics,http://www.ub.es/dnasp,,No,"Julio Rozas , J. C. Sánchez-DelBarrio, X. Messeguer and Ricardo Rosas",Distance matrix and computation programs
Dnatree,dormant,,C,teaching,http://evolution.gs.washington.edu/dnatree/dnatree.html,,No,,"Tree visualization, simulation, and other programs"
DPRML,unknown,2005,Java,likelihood; utility,,,No,Thomas Keane,Maximum likelihood and Bayesian programs
DT-ModSel,archived,2003,Perl,likelihood; model-selection,http://www.webpages.uidaho.edu/~jacks/DTModSel.html,http://web.archive.org/web/20250426034541/https://www.webpages.uidaho.edu/~jacks/DTModSel.html,Yes,"Vladimir Minin, Zaid Abdo, Paul Joyce, and Jack Sullivan",Maximum likelihood and Bayesian programs
DTdraw,archived,,C,gene-duplication; genomics; tree-visualization,http://www.lirmm.fr/~elemento/DTdraw/,http://web.archive.org/web/20120515134337/http://www.lirmm.fr/~elemento/DTdraw/,Yes,"Olivier Elemento , then","Tree visualization, simulation, and other programs"
DTscore,archived,2002,C,gene-duplication; genomics,http://www.lirmm.fr/%7Eelemento/DTscore/,http://web.archive.org/web/20120115015237/http://www.lirmm.fr:80/~elemento/DTscore/,Yes,"Olivier Elemento, then",Maximum likelihood and Bayesian programs
DualBrothers,archived,2002,Java,recombination,http://www.biomath.ucla.edu/msuchard/DualBrothers/,http://web.archive.org/web/20080703175522/http://www.biomath.ucla.edu/msuchard/DualBrothers/,Yes,Marc Suchard and Vladimir Minin,Maximum likelihood and Bayesian programs
EDIBLE,dormant,1998,C,bootstrap; comparative-methods; likelihood; simulation; tree-visualization,http://www.ebi.ac.uk/goldman/info/edible.html,,No,Nick Goldman,Maximum likelihood and Bayesian programs
EEEP,archived,2006,,consensus; recombination,http://bioinformatics.org.au/eeep,http://web.archive.org/web/20100113141347/http://bioinformatics.org.au:80/eeep/,Yes,Robert Beiko and Nicholas Hamilton,Maximum likelihood and Bayesian programs
ELW,dormant,2002,Perl,bootstrap,http://rogerlab.biochemistryandmolecularbiology.dal.ca/Software/Software.htm#elw,,No,Andrew Roger ,Maximum likelihood and Bayesian programs
EMBOSS,archived,2000,C,alignment; bootstrap; comparative-methods; compatibility; consensus; distance; general-purpose; likelihood; parsimony; tree-visualization; utility,http://emboss.sourceforge.net/what/,http://web.archive.org/web/20250114133409/https://emboss.sourceforge.net/what/,Yes,"Peter Rice, Alan Bleasby, and Jon Ison",Distance matrix and computation programs
EREM,archived,,,likelihood; simulation,http://carmelab.huji.ac.il/software/EREM/erem.html,http://web.archive.org/web/20251218095346/https://carmelab.huji.ac.il/software/EREM/erem.html,Yes,"Liran Carmel, Yuri I. Wolf, Igor B. Rogozin, and Eugene V. Koonin",Maximum likelihood and Bayesian programs
ETE,archived,2010,C; Python,gene-duplication; general-purpose; genomics; tree-visualization,http://ete.cgenomics.org,http://web.archive.org/web/20140525220921/http://ete.cgenomics.org:80/?,Yes,"Jaime Huerta-Cepas, Joaquin Dopazo and Toni Gabaldón",Parsimony programs
EvolSimulator,archived,2007,,gene-duplication; genomics; recombination; simulation,http://bioinformatics.org.au/evolsim,http://web.archive.org/web/20091025184219/http://bioinformatics.org.au/evolsim/,Yes,Robert Beiko and Robert Charlebois,"Tree visualization, simulation, and other programs"
EvolveAGene3,dead,,Perl,simulation,http://web.me.com/barryghall/Software/Software.html,,No,Barry Hall,"Tree visualization, simulation, and other programs"
FAMD,dormant,2006,,bootstrap; consensus; distance,http://www.famd.me.uk/famd.html,,No,Philipp Schlüter,Distance matrix and computation programs
fastDNAml,dormant,1993,C,likelihood,http://packages.debian.org/unstable/science/fastdnaml,,No,Gary Olsen ,Maximum likelihood and Bayesian programs
fastDNAmlRev,archived,2000,C,likelihood,http://www.santafe.edu/~btk/science-paper/bette.html,http://web.archive.org/web/20081221223635/http://www.santafe.edu:80/~btk/science-paper/bette.html,Yes,Bette Korber,Maximum likelihood and Bayesian programs
FastME,dormant,2002,C,distance,http://www.atgc-montpellier.fr/fastme/binaries.php,,No,"Richard Desper, most recently",Distance matrix and computation programs
FASTML,unknown,,,comparative-methods; distance; likelihood,,,No,,Maximum likelihood and Bayesian programs
FastTree,dormant,2009,C,bootstrap; likelihood,http://www.microbesonline.org/fasttree/,,No,Morgan Price,Maximum likelihood and Bayesian programs
FigTree,dormant,2006,Java,tree-visualization,http://tree.bio.ed.ac.uk/software/figtree/,,No,Andrew Rambaut,"Tree visualization, simulation, and other programs"
FootPrinter,archived,2002,C,alignment; parsimony,http://bio.cs.washington.edu/software/motif_discovery#Motif%20Discovery,http://web.archive.org/web/20221129150000/http://bio.cs.washington.edu/software/motif_discovery,Yes,Mathieu Blanchette,Parsimony programs
Forest,archived,2005,,tree-visualization,http://darwin.zoology.gla.ac.uk/~rpage/forest/,http://web.archive.org/web/20180718062028/http://darwin.zoology.gla.ac.uk:80/~rpage/forest/,Yes,Gabriel Valente and Rod Page,"Tree visualization, simulation, and other programs"
FORESTER,dormant,2001,Java,gene-duplication; genomics; tree-visualization,http://www.phylosoft.org/forester/,,No,"Christian Zmasek , currently","Tree visualization, simulation, and other programs"
Freqpars,archived,1987,Fortran,parsimony,http://paup.csit.fsu.edu/nlinks.html,http://web.archive.org/web/20160312104048/http://paup.csit.fsu.edu/nlinks.html,Yes,David Swofford ,Parsimony programs
FSTAT,dormant,1995,,distance; population-genetics,http://www2.unil.ch/popgen/softwares/fstat.htm,,No,Jérôme Goudet,Distance matrix and computation programs
Gambit,archived,2003,,bootstrap; distance; parsimony; quartets,http://genomics.ucla.edu/gambit/,http://web.archive.org/web/20090315040700/http://genomics.ucla.edu:80/gambit/,Yes,James Lake,Maximum likelihood and Bayesian programs
GAME,dormant,2002,C,distance,http://www.lirmm.fr/~guindon/gamma.html,,No,Stephane Guindon and Olivier Gascuel,Distance matrix and computation programs
GAPars,unknown,,C,general-purpose; parsimony,,,No,Dick Hwang,Parsimony programs
GARLI,dormant,2003,,general-purpose; likelihood,http://code.google.com/p/garli/,,No,Derrick Zwickl,"Tree visualization, simulation, and other programs"
GCUA,dead,1998,,distance,http://bioinf.nuim.ie/downloads.html,,No,James McInerney,Distance matrix and computation programs
GDA,archived,1996,,distance; population-genetics,http://hydrodictyon.eeb.uconn.edu/people/plewis/software.php,http://web.archive.org/web/20150910185941/http://hydrodictyon.eeb.uconn.edu:80/people/plewis/software.php,Yes,Paul Lewis,Distance matrix and computation programs
GDE,dormant,1994,,utility,http://macgde.bio.cmich.edu,,No,"Steve Smith , formerly","Tree visualization, simulation, and other programs"
GelCompar II,unknown,,,distance; parsimony,,,No,,Distance matrix and computation programs
GeneDoc,archived,,,alignment; sequence-editing,http://www.nrbsc.org/gfx/genedoc/gddl.htm,http://web.archive.org/web/20221006210217/http://nrbsc.org/gfx/genedoc/gddl.htm,Yes,Karl Nicholas,Maximum likelihood and Bayesian programs
Geneious,dormant,,Java,alignment; bootstrap; distance; tree-visualization; utility,http://www.biomatters.com,,No,"Biomatters, Ltd. in Auckald, New Zeal","Tree visualization, simulation, and other programs"
Genepop,dormant,1995,,distance; population-genetics,http://kimura.univ-montp2.fr/~rousset/Genepop.htm,,No,Michel Raymond and François Rousset,Distance matrix and computation programs
GeneStudio Pro,unknown,,,sequence-editing; utility,,,No,"GeneStudio, Inc.","Tree visualization, simulation, and other programs"
Genetix,dormant,,,distance; population-genetics,http://www.univ-montp2.fr/~genetix/genetix/genetix.htm,,No,François Bonhomme,Distance matrix and computation programs
GeneTree,archived,1997,,parsimony,http://taxonomy.zoology.gla.ac.uk/rod/genetree/genetree.html,http://web.archive.org/web/20180527200648/http://taxonomy.zoology.gla.ac.uk:80/rod/genetree/genetree.html,Yes,Rod Page,Parsimony programs
GenGIS,dormant,2009,Python,biogeography; tree-visualization,http://kiwi.cs.dal.ca/GenGIS/Main_Page,,No,Donovan Parks and Robert Beiko,"Tree visualization, simulation, and other programs"
Genie,archived,2000,C,tree-comparison,http://evolve.zoo.ox.ac.uk/evolve/Genie.html,http://web.archive.org/web/20200919190635/http://evolve.zoo.ox.ac.uk/Evolve/Genie.html,Yes,Oliver Pybus ,"Tree visualization, simulation, and other programs"
GenoDive,dormant,2004,,distance; population-genetics,http://www.bentleydrummer.nl/software,,No,Patrick Meirmans,Distance matrix and computation programs
GEODIS,archived,2000,Java,biogeography,http://darwin.uvigo.es/software/geodis.html,http://web.archive.org/web/20190312052005/http://darwin.uvigo.es:80/software/geodis.html,Yes,David Posada,Parsimony programs
GEOMETRY,unknown,1988,,quartets,,,No,"Igor Kuznetsov and Pavel Morozov , then",Maximum likelihood and Bayesian programs
GeoPhyloBuilder,unknown,,,tree-visualization,,,No,,"Tree visualization, simulation, and other programs"
GHOSTS,archived,1999,,bootstrap; clock-dating,http://www.bath.ac.uk/bio-sci/biodiversity-lab/?page_id=281,http://web.archive.org/web/20170125014722/http://www.bath.ac.uk/bio-sci/biodiversity-lab/?page_id=281,Yes,Matthew Wills,"Tree visualization, simulation, and other programs"
gmaes,archived,,C,distance; parsimony,http://iubio.bio.indiana.edu/soft/molbio/evolve/,http://web.archive.org/web/20180911020948/http://iubio.bio.indiana.edu:80/soft/molbio/evolve/,Yes,"Naoko Takezaki , now",Parsimony programs
GRate,dormant,,,clock-dating,http://bioinfweb.info/Software/GRate,,No,Kai Müller,"Tree visualization, simulation, and other programs"
gtp,archived,2001,C,gene-duplication; genomics,http://loco.biosci.arizona.edu/gtp/gtp.html,http://web.archive.org/web/20150731133306/http://loco.biosci.arizona.edu:80/gtp/gtp.html,Yes,Michael Sanderson,Maximum likelihood and Bayesian programs
GZ-Gamma,archived,1997,C,likelihood,https://homes.bio.psu.edu/people/faculty/nei/software.htm,http://web.archive.org/web/20100614180921/http://homes.bio.psu.edu/people/faculty/nei/software.htm,Yes,"Jianzhi George Zhang, now",Maximum likelihood and Bayesian programs
Hennig86,unknown,1986,,parsimony,,,No,,Parsimony programs
HeuristicMRF2,dormant,2003,,consensus,http://genome.cs.iastate.edu/CBL/download/,,No,"Duhong Chen, then","Tree visualization, simulation, and other programs"
HGT,dormant,2007,C,recombination,http://www.cibiv.at/software/hgt/,,No,"Simone Linz, Achim Radtke, and Arndt von Haeseler",Maximum likelihood and Bayesian programs
HON-new,archived,1990,C,distance,http://homes.bio.psu.edu/people/faculty/nei/software.htm,http://web.archive.org/web/20100614180921/http://homes.bio.psu.edu/people/faculty/nei/software.htm,Yes,"Jianzhi George Zhang, now",Distance matrix and computation programs
HY-PHY,dormant,2005,,clock-dating; distance; likelihood,http://www.hyphy.org/,,No,Sergei Kosakovsky Pond and Simon Frost,Maximum likelihood and Bayesian programs
HyperTree,archived,2000,Java,tree-visualization,http://kinase.com/tools/HyperTree.html,http://web.archive.org/web/20250123013524/http://www.kinase.com/tools/HyperTree.html,Yes,"Jonathan Bingham, then","Tree visualization, simulation, and other programs"
IDC,archived,,C,comparative-methods,http://anolis.oeb.harvard.edu/~liam/programs/,http://web.archive.org/web/20120103201739/http://anolis.oeb.harvard.edu:80/~liam/programs/,Yes,"Liam Revell , then","Tree visualization, simulation, and other programs"
IDEA,archived,,Java; Perl,distance; parsimony,http://ideanalyses.sourceforge.net/main.html,http://web.archive.org/web/20230613225046/https://ideanalyses.sourceforge.net/main.html,Yes,Amy Egan and Joana Silva,Maximum likelihood and Bayesian programs
iGTP,dormant,2010,,consensus; gene-duplication; genomics,http://genome.cs.iastate.edu/CBL/iGTP/,,No,"Ruchi Chaudhary, Mukul S. Bansal, André Wehe, David Fernández-Baca, and Oliver Eulenstein",Maximum likelihood and Bayesian programs
IMa2,unknown,,,bayesian; population-genetics; recombination,,,No,,Maximum likelihood and Bayesian programs
indel-Seq-Gen,dormant,2007,C; Perl,simulation,http://bioinfolab.unl.edu/~cstrope/iSG,,No,"Cory Strope, S. D. Scott and Etsuko Moriyama then","Tree visualization, simulation, and other programs"
IQPNNI,dormant,2004,C,likelihood; quartets,http://www.cibiv.at/software/iqpnni/,,No,"Le Sy Vinh, now",Maximum likelihood and Bayesian programs
Jane,dormant,2010,Java,biogeography; host-parasite,http://www.cs.hmc.edu/~hadas/jane/,,No,Ran Libeskind-Hadas,Maximum likelihood and Bayesian programs
Jevtrace,archived,2002,Java,comparative-methods,http://genomebiology.com/2002/3/12/research/0077,http://web.archive.org/web/20151019032410/http://www.genomebiology.com/2002/3/12/research/0077,Yes,Marcin Joachimiak,"Tree visualization, simulation, and other programs"
jMODELTEST,archived,2008,Java,model-selection,http://darwin.uvigo.es/software/jmodeltest.html,http://web.archive.org/web/20120914063915/http://darwin.uvigo.es:80/software/jmodeltest.html,Yes,David Posada,Maximum likelihood and Bayesian programs
Kakusan4,dormant,,Perl,likelihood; model-selection,http://www.fifthdimension.jp/products/kakusan/,,No,Akifumi S. Tanabe,Maximum likelihood and Bayesian programs
Lagrange,dormant,2005,Python,biogeography,http://code.google.com/p/lagrange/,,No,Richard H. Ree and Stephen A. Smith,Maximum likelihood and Bayesian programs
laser,archived,2006,R,tree-comparison,http://cran.r-project.org/web/packages/laser/index.html,,No,Dan Rabosky,Maximum likelihood and Bayesian programs
