Name,Status,Release Year,Programming Language(s),Categories,URL (Original),URL (Wayback Archive),Wayback Preserved,Author,Catalog Section
SeqPup,archived,,C; Java,distance; likelihood; sequence-editing; utility,http://iubio.bio.indiana.edu/soft/molbio/seqpup/java/seqpup-doc.html,http://web.archive.org/web/20181126222341/http://iubio.bio.indiana.edu:80/soft/molbio/seqpup/java/seqpup-doc.html,Yes,Don Gilbert,"Tree visualization, simulation, and other programs"
SeqState,archived,2005,Java,likelihood; parsimony,http://systevol.nees.uni-bonn.de/software/SeqState,http://web.archive.org/web/20090516010510/http://systevol.nees.uni-bonn.de:80/software/SeqState,Yes,Kai Müller,Parsimony programs
Serial NetEvolve,dormant,,,general-purpose,http://biorg.cis.fiu.edu/SNE/,,No,,
SGRunner,archived,,,simulation,http://homepage.mac.com/tpwilcox/FileSharing15.html,http://web.archive.org/web/20111118104358/http://homepage.mac.com:80/tpwilcox/FileSharing15.html,Yes,,"Tree visualization, simulation, and other programs"
SIMMAP,dormant,2002,,bayesian; comparative-methods; likelihood,http://www.simmap.com,,No,Jonathan Bollback ,Maximum likelihood and Bayesian programs
SimpleClade,archived,,,teaching; tree-visualization,http://www2.guilford.edu/geology/simpleclade/,http://web.archive.org/web/20080502225132/http://www.guilford.edu:80/geology/simpleclade/,Yes,Dave Dobson,"Tree visualization, simulation, and other programs"
Simplot,archived,1999,,bootstrap; distance; likelihood; parsimony; recombination; utility,http://sray.med.som.jhmi.edu/SCRoftware/simplot/,http://web.archive.org/web/20260114203706/https://sray.med.som.jhmi.edu/SCRoftware/SimPlot/,Yes,Stuart Ray,"Tree visualization, simulation, and other programs"
Simprot,archived,2005,C,simulation,http://www.uhnresearch.ca/labs/tillier/software.htm,http://web.archive.org/web/20160409035139/http://www.uhnresearch.ca/labs/tillier/software.htm,Yes,"Andy Pang, Andrew Smith, Paulo Nuin and Elisabeth Tillier","Tree visualization, simulation, and other programs"
Singapore PHYLIP web interface,unknown,,,utility,,,No,,"Tree visualization, simulation, and other programs"
SLOUCH,dormant,1977,R,comparative-methods,http://freshpond.org/software/SLOUCH/,,No,"Jason Pienaar, Thomas F. Hansen, and Steven Hecht Orzack of","Tree visualization, simulation, and other programs"
SLR,dormant,2005,C,likelihood,http://www.ebi.ac.uk/goldman/SLR/,,No,Tim Massingham and Nick Goldman,Maximum likelihood and Bayesian programs
sog,archived,,C,bootstrap; parsimony,http://iubio.bio.indiana.edu/soft/molbio/evolve/,http://web.archive.org/web/20180911020948/http://iubio.bio.indiana.edu:80/soft/molbio/evolve/,Yes,"John Czelusniak , then",Parsimony programs
SPAGeDi,archived,2002,,distance; population-genetics,http://ebe.ulb.ac.be/ebe/Software.html,http://web.archive.org/web/20220911221155/https://ebe.ulb.ac.be/ebe/Software.html,Yes,Olivier Hardy and Xavier Vekemans,Distance matrix and computation programs
Spectronet,archived,2002,,compatibility; likelihood; network; recombination; tree-visualization,http://awcmee.massey.ac.nz/spectronet/index.html,http://web.archive.org/web/20100525122046/http://awcmee.massey.ac.nz/spectronet/index.html,Yes,,Maximum likelihood and Bayesian programs
Spectrum,archived,1994,,likelihood,http://www.it.usyd.edu.au/~mcharles/,http://web.archive.org/web/20091025101204/http://www.it.usyd.edu.au/~mcharles/,Yes,Mike Charleston,Maximum likelihood and Bayesian programs
SplitsTree,archived,1998,Java,distance; likelihood; network; quartets,http://www.splitstree.org,http://web.archive.org/web/20220121204751/http://splitstree.org/,Yes,Daniel Huson,Maximum likelihood and Bayesian programs
SSA,dormant,2001,,likelihood,http://www.stat.ohio-state.edu/~lkubatko/software/ssa/ssa.html,,No,Laura Salter Kubatko,Maximum likelihood and Bayesian programs
SSIMUL,dormant,,,general-purpose,http://www.atgc-montpellier.fr/ssimul/,,No,,
START2,unknown,,,distance; recombination,,,No,,Distance matrix and computation programs
Statio,archived,1994,,distance; model-selection,https://homes.bio.psu.edu/people/faculty/nei/software.htm,http://web.archive.org/web/20100614180921/http://homes.bio.psu.edu/people/faculty/nei/software.htm,Yes,"Andrey Rzhetsky, now",Distance matrix and computation programs
STC,dormant,2005,,distance; quartets,http://www.cibiv.at/software/stc/,,No,Le Sy Vinh,Distance matrix and computation programs
SuiteMSA,dormant,2007,Java; Perl,alignment; simulation; tree-visualization; utility,http://bioinfolab.unl.edu/~canderson/SuiteMSA/,,No,Catherine Anderson,"Tree visualization, simulation, and other programs"
SuperTree,archived,2002,Java,consensus; supertrees,http://www2.unil.ch/phylo/bioinformatics/supertree.html,http://web.archive.org/web/20170713101718/https://www2.unil.ch/phylo/bioinformatics/supertree.html,Yes,Nicolas Salamin at the Department,"Tree visualization, simulation, and other programs"
Supertree,archived,2002,Java,consensus; supertrees,http://www2.unil.ch/phylo/bioinformatics/supertree.html,http://web.archive.org/web/20170713101718/https://www2.unil.ch/phylo/bioinformatics/supertree.html,Yes,Nicolas Salamin at the Department,"Tree visualization, simulation, and other programs"
Supertree scripts,archived,,Perl,consensus; supertrees,http://www.molekularesystematik.uni-oldenburg.de/33997.html,http://web.archive.org/web/20130522081507/http://www.molekularesystematik.uni-oldenburg.de:80/33997.html,Yes,Olaf Bininda-Emonds at the Institut für Biologie und Umweltwissenschaften,"Tree visualization, simulation, and other programs"
Swaap,archived,,,distance,http://www.bacteriamuseum.org/SWAAP/SwaapPage.htm#Swaap,http://web.archive.org/web/20201101223413/http://www.bacteriamuseum.org/SWAAP/SwaapPage.htm,Yes,David T. Pride,Distance matrix and computation programs
Swaap PH,unknown,,,distance,,,No,David T. Pride,Distance matrix and computation programs
SWORDS,archived,2001,,bootstrap; distance,http://www.isical.ac.in/~probal/main.htm,http://web.archive.org/web/20210731225030/https://www.isical.ac.in/~probal/main.htm,Yes,Probal Chaudhuri,Distance matrix and computation programs
SymmeTREE,archived,2004,,clock-dating; tree-comparison,http://www.phylodiversity.net/bmoore/software.html,http://web.archive.org/web/20221013234233/https://www.phylodiversity.net/bmoore/software.html,Yes,Kai Chan,Distance matrix and computation programs
SYN-TAX,unknown,1993,,distance,,,No,János Podani,Distance matrix and computation programs
T-Coffee,dormant,2000,,alignment,http://www.tcoffee.org/Projects_home_page/t_coffee_home_page.html,,No,Cédric Notredame,Maximum likelihood and Bayesian programs
T-REX,archived,1997,,bootstrap; distance; recombination; tree-visualization,http://www.labunix.uqam.ca/~makarenv/trex.html,http://web.archive.org/web/20100305183355/http://www.labunix.uqam.ca:80/~makarenv/trex.html,Yes,Vladimir Makarenkov,Distance matrix and computation programs
Tarzan,dormant,2005,Java,biogeography; host-parasite,http://pacosy.informatik.uni-leipzig.de/pv/Software/Tarzan/PV-Tarzan.engl.html,,No,"Steffen Junick, Daniel Merkle, and Martin Middendorf ",Maximum likelihood and Bayesian programs
TAXEQ3,archived,1995,,bootstrap; consensus,http://www.nhm.ac.uk/research-curation/research/projects/software/mwphylogeny.html,http://web.archive.org/web/20110109044427/http://www.nhm.ac.uk/research-curation/research/projects/software/mwphylogeny.html,Yes,Mark Wilkinson,"Tree visualization, simulation, and other programs"
TCS,archived,1992,Java,distance; network; parsimony; recombination,http://darwin.uvigo.es/software/tcs.html,http://web.archive.org/web/20190402190845/http://darwin.uvigo.es:80/software/tcs.html,Yes,"Mark Clement, David Posada, and Keith Crandall",Parsimony programs
TFPGA,archived,,,distance; population-genetics,http://www.marksgeneticsoftware.net/,http://web.archive.org/web/20220402095415/http://www.marksgeneticsoftware.net/,Yes,Mark Miller,Distance matrix and computation programs
TIGER,archived,2011,Python,compatibility,http://bioinf.nuim.ie/tiger,http://web.archive.org/web/20140812122544/http://bioinf.nuim.ie/tiger/,Yes,Carla Cummins and James McInerney,Maximum likelihood and Bayesian programs
